algo,original,parallelized
OLS regression,2.97199999999998,2.8050000000000637
elastic net,16.50999999999999,5.1030000000000655
random forest,63.406999999999925,21.146999999999935
eXtreme Gradient Boosting,119.97500000000014,36.37799999999993
