algo,supercomputer,supercomputer_8
OLS regression,3.072999999998501,6.416999999999462
elastic net,16.351000000000568,8.706000000000131
random forest,63.34300000000076,18.05199999999968
eXtreme Gradient Boosting,120.3179999999993,30.835000000000946
